date,title,trail_text,source,section,url,query,sentiment_text,news_finbert_positive_prob,news_finbert_negative_prob,news_finbert_neutral_prob,news_finbert_score,news_sentiment_label
2015-04-08,Australian banks under pressure after French lenders rule out funding Galilee Basin coalmines,Move brings to 11 the number of international banks that have publicly distanced themselves from Australia’s largest coal projects ,The Guardian,Business,https://www.theguardian.com/business/2015/apr/08/galilee-basin-coalmines-australian-banks-under-pressure-after-french-lenders-rule-out-funding,"""Commonwealth Bank""",Australian banks under pressure after French lenders rule out funding Galilee Basin coalmines Move brings to 11 the number of international banks that have publicly distanced themselves from Australia’s largest coal projects,0.014263719,0.9664184,0.01931788,-0.95215464,negative
2015-04-09,The human cost of ending money transfers to war-torn countries,"High school fees, food, housing – Australian Somalis tell of despair that payments to family have stopped with Westpac’s decision to exit industry",The Guardian,Business,https://www.theguardian.com/business/2015/apr/09/the-human-cost-of-ending-money-transfers-to-war-torn-countries,"""Commonwealth Bank""","The human cost of ending money transfers to war-torn countries High school fees, food, housing – Australian Somalis tell of despair that payments to family have stopped with Westpac’s decision to exit industry",0.011973419,0.94341177,0.04461485,-0.9314383,negative
2015-04-20,"Set up royal commission into financial planning, whistleblower urges Senate",Jeff Morris also says corporate regulator Asic must explain its failure to keep major banks accountable,The Guardian,Business,https://www.theguardian.com/business/2015/apr/20/set-up-royal-commission-into-financial-planning-whistleblower-urges-senate,"""Commonwealth Bank""","Set up royal commission into financial planning, whistleblower urges Senate Jeff Morris also says corporate regulator Asic must explain its failure to keep major banks accountable",0.034968283,0.6136963,0.3513354,-0.578728,negative
2015-04-21,NAB signals it will lift gagging orders on victims of poor financial advice,Chief executive Andrew Thorburn says orders preventing Australians speaking out about poor advice could be lifted ‘in principle’,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/apr/21/nab-signals-it-will-lift-gagging-orders-on-victims-of-poor-financial-advice,"""Commonwealth Bank""",NAB signals it will lift gagging orders on victims of poor financial advice Chief executive Andrew Thorburn says orders preventing Australians speaking out about poor advice could be lifted ‘in principle’,0.13909367,0.65105104,0.20985524,-0.5119574,negative
2015-05-05,Australian CEOs call on political leaders to support marriage equality,"Business leaders, including Qantas chief Alan Joyce, say tolerance and diversity are all part of Australia’s ‘public brand’ and supporting marriage equality is the ‘last piece of the puzzle’",The Guardian,Australia news,https://www.theguardian.com/world/2015/may/05/australian-ceos-call-on-political-leaders-to-support-marriage-equality,"""Commonwealth Bank""","Australian CEOs call on political leaders to support marriage equality Business leaders, including Qantas chief Alan Joyce, say tolerance and diversity are all part of Australia’s ‘public brand’ and supporting marriage equality is the ‘last piece of the puzzle’",0.062070422,0.06431415,0.8736154,-0.0022437274,neutral
2015-05-05,Reserve Bank of Australia cuts rates to historic new low of 2%,RBA says falling commodity prices and weak business investment meant the second cut this year was necessary to encourage a pickup in household demand,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/may/05/reserve-bank-of-australia-cuts-rates-to-historic-new-low-of-2,"""Commonwealth Bank""",Reserve Bank of Australia cuts rates to historic new low of 2% RBA says falling commodity prices and weak business investment meant the second cut this year was necessary to encourage a pickup in household demand,0.037030343,0.9509144,0.012055329,-0.91388404,negative
2015-05-08,Coalition's unwillingness to tax means commitment to fairness won’t last,"Preventing wealthy retirees from claiming a part-pension is much fairer than last year’s plan to erode the value of all pensions, but is it an epiphany or strategy?",The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/may/08/coalitions-unwillingness-to-tax-means-commitment-to-fairness-wont-last,"""Commonwealth Bank""","Coalition's unwillingness to tax means commitment to fairness won’t last Preventing wealthy retirees from claiming a part-pension is much fairer than last year’s plan to erode the value of all pensions, but is it an epiphany or strategy?",0.046300128,0.20163861,0.75206125,-0.15533848,neutral
2015-05-13,"Budget 2015: Tony Abbott creates new attack line, ruling out tax increases","Abbott’s latest angle, that only Labor will raise taxes, appears to confirm hopes of returning to surplus using cuts and hidden tax increases",The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/may/13/budget-2015-tony-abbott-creates-new-attack-line-ruling-out-tax-increases,"""Commonwealth Bank""","Budget 2015: Tony Abbott creates new attack line, ruling out tax increases Abbott’s latest angle, that only Labor will raise taxes, appears to confirm hopes of returning to surplus using cuts and hidden tax increases",0.82728535,0.045712568,0.12700205,0.78157276,positive
2015-05-15,ANZ Championships: controversial conference system could see better finals,Conference system has been condemned but it could produce more crackers; Firebirds in pole position; and England’s revival - it’s on for young and old,The Guardian,Sport,https://www.theguardian.com/sport/blog/2015/may/15/netball-conference-system-sees-finals-improvement,"""Commonwealth Bank""",ANZ Championships: controversial conference system could see better finals Conference system has been condemned but it could produce more crackers; Firebirds in pole position; and England’s revival - it’s on for young and old,0.36177027,0.04271934,0.5955105,0.31905094,neutral
2015-05-19,"Rachelle Louise v the Tele: another great case, snatched away from us","Defamation cases are where the law, the media and the plaintiff’s sense of self intersect – and Rachelle Louise v the Daily Telegraph had it all",The Guardian,Opinion,https://www.theguardian.com/commentisfree/2015/may/19/rachelle-louise-v-the-tele-another-great-case-snatched-away-from-us,"""Commonwealth Bank""","Rachelle Louise v the Tele: another great case, snatched away from us Defamation cases are where the law, the media and the plaintiff’s sense of self intersect – and Rachelle Louise v the Daily Telegraph had it all",0.058527324,0.123897634,0.8175751,-0.06537031,neutral
2015-05-20,"Australia's banks have 10% loans in risky fossil fuels, says investment adviser","Biggest four banks have about 10% of known loan arrangements in coal, oil and gas projects, which could be ‘stranded’ by policy change, research shows",The Guardian,Business,https://www.theguardian.com/business/2015/may/20/australias-banks-have-10-loans-in-risky-fossil-fuels-says-investment-adviser,"""Commonwealth Bank""","Australia's banks have 10% loans in risky fossil fuels, says investment adviser Biggest four banks have about 10% of known loan arrangements in coal, oil and gas projects, which could be ‘stranded’ by policy change, research shows",0.118406534,0.121889874,0.7597036,-0.0034833401,neutral
2015-05-22,"Belt up, fellow Australians: we're in for another Big Stupid tax debate",The Coalition’s decision to rule out any changes to superannuation taxes – ever – because ‘higher tax = Labor = bad’ is a comic book argument,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/may/22/belt-up-fellow-australians-were-in-for-another-big-stupid-tax-debate,"""Commonwealth Bank""","Belt up, fellow Australians: we're in for another Big Stupid tax debate The Coalition’s decision to rule out any changes to superannuation taxes – ever – because ‘higher tax = Labor = bad’ is a comic book argument",0.07684545,0.33571613,0.58743846,-0.25887066,neutral
2015-06-01,Treasury secretary says superannuation tax concessions need to be reviewed,Labor seizes on John Fraser’s comments following the Coalition framing superannuation as a clear point of difference between the parties,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/jun/01/treasury-secretary-says-superannuation-tax-concessions-need-to-be-reviewed,"""Commonwealth Bank""",Treasury secretary says superannuation tax concessions need to be reviewed Labor seizes on John Fraser’s comments following the Coalition framing superannuation as a clear point of difference between the parties,0.17959356,0.5704587,0.24994773,-0.39086515,negative
2015-06-10,"Forget about intergenerational theft, this is intergenerational bullying",What does the Abbott government have against young people? They’ve told us to ‘have a go’ but their policies make life much harder for us,The Guardian,Opinion,https://www.theguardian.com/commentisfree/2015/jun/10/forget-about-intergenerational-theft-this-is-intergenerational-bullying,"""Commonwealth Bank""","Forget about intergenerational theft, this is intergenerational bullying What does the Abbott government have against young people? They’ve told us to ‘have a go’ but their policies make life much harder for us",0.021149129,0.71408623,0.26476464,-0.69293714,negative
2015-06-17,Australian banks 'favour fossil fuel projects over renewables by $6 to $1',"Highly unlikely that any major polluting project could go ahead in the country without investment by the big four, Market Forces campaigner says",The Guardian,Environment,https://www.theguardian.com/environment/2015/jun/17/australian-banks-favour-fossil-fuel-projects-over-renewables-by-6-to-1,"""Commonwealth Bank""","Australian banks 'favour fossil fuel projects over renewables by $6 to $1' Highly unlikely that any major polluting project could go ahead in the country without investment by the big four, Market Forces campaigner says",0.34293383,0.039446484,0.6176197,0.30348736,neutral
2015-06-17,Does your superannuation fund invest in fossil fuel companies?,Even some super funds listed as ‘sustainable’ that advertise themselves as socially responsible have a relatively high investment in fossil fuel companies. ,The Guardian,News,https://www.theguardian.com/news/datablog/2015/jun/18/does-your-superannuation-fund-invest-in-fossil-fuel-companies,"""Commonwealth Bank""",Does your superannuation fund invest in fossil fuel companies? Even some super funds listed as ‘sustainable’ that advertise themselves as socially responsible have a relatively high investment in fossil fuel companies.,0.07941105,0.012661819,0.90792716,0.06674923,neutral
2015-07-01,Barclays new IT director was given £1.6m of shares,"Award, which was announced to the stock exchange, was part of deal to buy Michael Harte out of his role at Commonwealth Bank of Australia",The Guardian,Business,https://www.theguardian.com/business/2015/jul/01/barclays-new-it-director-was-given-16m-of-shares,"""Commonwealth Bank""","Barclays new IT director was given £1.6m of shares Award, which was announced to the stock exchange, was part of deal to buy Michael Harte out of his role at Commonwealth Bank of Australia",0.07541973,0.01414986,0.9104305,0.061269872,neutral
2015-07-21,Australian tax reform: options on the menu for Abbott and premiers at Coag,Increasing or broadening the base of GST? Hiking the Medicare levy? Scrapping negative gearing? Who supports which measures as political leaders gather for the Coag meeting in Sydney,The Guardian,Australia news,https://www.theguardian.com/news/2015/jul/22/australian-tax-reform-options-on-the-menu-for-abbott-and-premiers-at-coag,"""Commonwealth Bank""",Australian tax reform: options on the menu for Abbott and premiers at Coag Increasing or broadening the base of GST? Hiking the Medicare levy? Scrapping negative gearing? Who supports which measures as political leaders gather for the Coag meeting in Sydney,0.24119723,0.019904194,0.73889863,0.22129303,neutral
2015-07-31,Legal battle to unearth Commonwealth Bank's fossil fuel interests fails,"The Australasian Centre for Corporate Responsibility, a Commonwealth Bank shareholder, tried to put a resolution on greenhouse gasses to the bank’s AGM",The Guardian,Environment,https://www.theguardian.com/environment/2015/jul/31/legal-battle-to-unearth-commonwealth-banks-fossil-fuel-interests-fails,"""Commonwealth Bank""","Legal battle to unearth Commonwealth Bank's fossil fuel interests fails The Australasian Centre for Corporate Responsibility, a Commonwealth Bank shareholder, tried to put a resolution on greenhouse gasses to the bank’s AGM",0.075791635,0.28430602,0.6399023,-0.20851439,neutral
2015-08-05,"Future of Carmichael mine hinges not on skinks or snakes, but its business case","Its potential environmental impact on vulnerable species has caused outrage, yet it is the fight to make the mine viable that may yet pose the greatest challenge",The Guardian,Environment,https://www.theguardian.com/environment/2015/aug/06/future-of-carmichael-mine-hinges-not-on-skinks-or-snakes-but-its-business-case,"""Commonwealth Bank""","Future of Carmichael mine hinges not on skinks or snakes, but its business case Its potential environmental impact on vulnerable species has caused outrage, yet it is the fight to make the mine viable that may yet pose the greatest challenge",0.055068273,0.5205773,0.4243544,-0.46550903,negative
2015-08-07,Banking worries spark biggest one-day fall in Australian shares for three years,"Concerns that the Commonwealth Bank will have to announce a large fund raising were behind a 2.4% drop in the ASX200 index, despite an upbeat quarterly statement from the RBA",The Guardian,Business,https://www.theguardian.com/business/2015/aug/07/banking-worries-spark-biggest-one-day-fall-in-australian-shares-for-three-years,"""Commonwealth Bank""","Banking worries spark biggest one-day fall in Australian shares for three years Concerns that the Commonwealth Bank will have to announce a large fund raising were behind a 2.4% drop in the ASX200 index, despite an upbeat quarterly statement from the RBA",0.011553489,0.9735507,0.014895905,-0.9619972,negative
2015-08-09,RBS executives set for multimillion-pound payouts,Share awards come a week after the government sold a stake in Royal Bank of Scotland,The Guardian,Business,https://www.theguardian.com/business/2015/aug/09/rbs-executives-set-for-multimillion-pound-payout,"""Commonwealth Bank""",RBS executives set for multimillion-pound payouts Share awards come a week after the government sold a stake in Royal Bank of Scotland,0.22160539,0.025723552,0.75267106,0.19588184,neutral
2015-08-10,Standard Chartered quits controversial Carmichael coalmine in Queensland,"Involvement with the mine, which critics say threatens endangered species, was exposing the London-based bank to reputational damage",The Guardian,Business,https://www.theguardian.com/business/2015/aug/10/standard-chartered-quits-controversial-queensland-coal-mining-project,"""Commonwealth Bank""","Standard Chartered quits controversial Carmichael coalmine in Queensland Involvement with the mine, which critics say threatens endangered species, was exposing the London-based bank to reputational damage",0.01391449,0.9421295,0.043955974,-0.928215,negative
2015-08-11,Carmichael mine's new hurdle: analysts predict India's coal imports zero by 2021,"Adani’s $16bn coalmine would be left ‘stranded’, says energy institute, by India’s plan to install renewable energy plants and upgrade grids",The Guardian,Environment,https://www.theguardian.com/environment/2015/aug/11/carmichael-mines-new-hurdle-analysts-predict-indias-coal-imports-zero-by-2021,"""Commonwealth Bank""","Carmichael mine's new hurdle: analysts predict India's coal imports zero by 2021 Adani’s $16bn coalmine would be left ‘stranded’, says energy institute, by India’s plan to install renewable energy plants and upgrade grids",0.029496234,0.9000341,0.07046967,-0.8705379,negative
2015-08-13,The Weekly Beast: Rupert Murdoch's in town and News Corp gets the vapours,The press baron’s visit to Sydney was met with some eccentric behaviour by his media-watchers. Plus Michael Clarke gets bowled a couple of bouncers from the Courier-Mail,The Guardian,Media,https://www.theguardian.com/media/2015/aug/13/the-weekly-beast-rupert-murdochs-in-town-and-news-corp-gets-the-vapours,"""Commonwealth Bank""",The Weekly Beast: Rupert Murdoch's in town and News Corp gets the vapours The press baron’s visit to Sydney was met with some eccentric behaviour by his media-watchers. Plus Michael Clarke gets bowled a couple of bouncers from the Courier-Mail,0.06873129,0.30299598,0.62827265,-0.23426469,neutral
2015-08-13,Is Australia stuck in a 'new normal' of low wages growth?,"Labour market flexibility has kept wages growth down while demand was weak, but it remains to be seen whether it will push up wages when demand returns",The Guardian,Business,https://www.theguardian.com/business/grogonomics/2015/aug/13/is-australia-stuck-in-a-new-normal-of-low-wages-growth,"""Commonwealth Bank""","Is Australia stuck in a 'new normal' of low wages growth? Labour market flexibility has kept wages growth down while demand was weak, but it remains to be seen whether it will push up wages when demand returns",0.17948438,0.7964089,0.024106735,-0.6169245,negative
2015-08-13,Global insurer Aviva warns of 'grave reputational risks' of Carmichael mine,Concerns come as president of Kiribati calls for immediate worldwide moratorium on new coalmines and expansions ahead of Paris climate talks,The Guardian,Environment,https://www.theguardian.com/environment/2015/aug/13/insurer-aviva-warns-reputational-risks-bankrolling-carmichael-coalmine,"""Commonwealth Bank""",Global insurer Aviva warns of 'grave reputational risks' of Carmichael mine Concerns come as president of Kiribati calls for immediate worldwide moratorium on new coalmines and expansions ahead of Paris climate talks,0.018609429,0.9518543,0.02953632,-0.9332449,negative
2015-08-18,Australian shares hit seven-month low as China uncertainty hurts banks,Financial stocks are punished and Chinese market slumps alarmingly amid fears that the ‘party is over’ in the world’s second biggest economy,The Guardian,Business,https://www.theguardian.com/business/2015/aug/18/australian-shares-hit-seven-month-low-as-china-uncertainty-hurts-banks,"""Commonwealth Bank""",Australian shares hit seven-month low as China uncertainty hurts banks Financial stocks are punished and Chinese market slumps alarmingly amid fears that the ‘party is over’ in the world’s second biggest economy,0.02070906,0.9394769,0.03981404,-0.91876787,negative
2015-08-20,"Banks have treated our housing market like a Ponzi scheme, and it's about to bust","Australia’s housing market is looking a lot like the US, Ireland and Spain before the global financial crisis. Why aren’t politicians more concerned?",The Guardian,Opinion,https://www.theguardian.com/commentisfree/2015/aug/20/banks-have-treated-our-housing-market-like-a-ponzi-scheme-and-its-about-to-bust,"""Commonwealth Bank""","Banks have treated our housing market like a Ponzi scheme, and it's about to bust Australia’s housing market is looking a lot like the US, Ireland and Spain before the global financial crisis. Why aren’t politicians more concerned?",0.044864833,0.3271578,0.6279774,-0.28229296,neutral
2015-09-03,NAB rules out funding Adani's Carmichael mine as buyer LG pulls out,Australia’s biggest proposed coal project loses 4m tonne deal with one of its two big customers as the country’s fourth-largest bank publicly distances itself,The Guardian,Business,https://www.theguardian.com/business/2015/sep/03/nab-rules-out-funding-adanis-carmichael-mine-as-buyer-lg-pulls-out,"""Commonwealth Bank""",NAB rules out funding Adani's Carmichael mine as buyer LG pulls out Australia’s biggest proposed coal project loses 4m tonne deal with one of its two big customers as the country’s fourth-largest bank publicly distances itself,0.012954142,0.9469639,0.04008192,-0.9340098,negative
2015-10-06,ANZ 'will not finance' dirty coal plants and pledges $10bn for clean energy,Bank rules out funding ‘conventional coal-fired power plants’ that do not use proven technologies to significantly reduce emissions,The Guardian,Business,https://www.theguardian.com/business/2015/oct/06/anz-will-not-finance-dirty-coal-plants-and-pledges-10bn-for-clean-energy,"""Commonwealth Bank""",ANZ 'will not finance' dirty coal plants and pledges $10bn for clean energy Bank rules out funding ‘conventional coal-fired power plants’ that do not use proven technologies to significantly reduce emissions,0.035787422,0.16507195,0.79914063,-0.12928453,neutral
2015-10-15,"Gee, Westpac must have thought hard about passing on the cost of regulation to customers","After announcing an increase in profits, Westpac announced on Wednesday it would be raising mortgage rates to cover the cost of making it more secure",The Guardian,Business,https://www.theguardian.com/business/grogonomics/2015/oct/15/westpac-to-pass-on-cost-of-regulation-to-customers-despite-profit-increase,"""Commonwealth Bank""","Gee, Westpac must have thought hard about passing on the cost of regulation to customers After announcing an increase in profits, Westpac announced on Wednesday it would be raising mortgage rates to cover the cost of making it more secure",0.74833834,0.015952198,0.23570938,0.7323862,positive
2015-10-19,Turnbull government to crack down on excessive credit card surcharges,Move to enshrine the objective of the superannuation system in legislation amid measures announced in response to Murray review of financial system,The Guardian,Money,https://www.theguardian.com/money/2015/oct/20/turnbull-government-to-crack-down-on-excessive-credit-card-surcharges,"""Commonwealth Bank""",Turnbull government to crack down on excessive credit card surcharges Move to enshrine the objective of the superannuation system in legislation amid measures announced in response to Murray review of financial system,0.43854022,0.1697953,0.3916645,0.26874492,positive
2015-10-20,New poll narrows Coalition's lead over Labor – politics live,"The Turnbull government unveils its response to the Murray inquiry into the financial system, while the Human Rights Commission president calls for greater oversight of immigration detention centres. All the developments from Canberra, live",The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2015/oct/20/turnbull-to-unveil-new-banking-regulations-politics-live,"""Commonwealth Bank""","New poll narrows Coalition's lead over Labor – politics live The Turnbull government unveils its response to the Murray inquiry into the financial system, while the Human Rights Commission president calls for greater oversight of immigration detention centres. All the developments from Canberra, live",0.03328309,0.042920005,0.9237969,-0.009636916,neutral
2015-10-20,Turnbull's financial system changes: how they affect you,"From ending credit card surcharges to greater choice for super funds, the changes could benefit consumers but may come at a price if banks pass on the costs",The Guardian,Business,https://www.theguardian.com/business/2015/oct/20/turnbulls-financial-system-changes-how-they-affect-you,"""Commonwealth Bank""","Turnbull's financial system changes: how they affect you From ending credit card surcharges to greater choice for super funds, the changes could benefit consumers but may come at a price if banks pass on the costs",0.048465587,0.061645515,0.8898889,-0.013179928,neutral
2015-10-20,Credit card crackdown: companies must charge only real costs,Scott Morrison says some companies have been passing on inflated surcharges of up to 10% when transaction costs them only half a per cent,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/oct/21/credit-card-crackdown-companies-must-charge-only-real-costs,"""Commonwealth Bank""",Credit card crackdown: companies must charge only real costs Scott Morrison says some companies have been passing on inflated surcharges of up to 10% when transaction costs them only half a per cent,0.018279219,0.9391579,0.04256289,-0.9208787,negative
2015-10-22,Labor builds the pressure over marriage equality – politics live,"Labor attacks the royal commission into trade unions over its request for personal details of 9,000 members, and it launches a new policy on the sharing economy, as the Coalition’s internal debate about marriage equality gets a blustery second wind. All the developments from Canberra, live",The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2015/oct/22/eric-abetz-declares-renewed-marriage-equality-push-an-ambush-politics-live,"""Commonwealth Bank""","Labor builds the pressure over marriage equality – politics live Labor attacks the royal commission into trade unions over its request for personal details of 9,000 members, and it launches a new policy on the sharing economy, as the Coalition’s internal debate about marriage equality gets a blustery second wind. All the developments from Canberra, live",0.01826936,0.8273624,0.15436815,-0.80909306,negative
2015-10-23,"Mortgage rate rises are too little, too late to save Australia's bloated banking sector","Despite recent mortgage interest rate rises, Australian banks are more exposed to the risk of a housing market shock than ever before",The Guardian,Business,https://www.theguardian.com/business/2015/oct/24/mortgage-rate-rises-are-too-little-late-to-save-australias-bloated-banking-sector,"""Commonwealth Bank""","Mortgage rate rises are too little, too late to save Australia's bloated banking sector Despite recent mortgage interest rate rises, Australian banks are more exposed to the risk of a housing market shock than ever before",0.02871408,0.8773417,0.09394421,-0.8486276,negative
2015-11-02,"Australian banks face falling profits, rising costs and closures, report warns","After nearly 20 years of growth on back of mining and housing booms, KPMG report says banks must tackle challenges or lose to stronger competition",The Guardian,Business,https://www.theguardian.com/business/2015/nov/02/banks-face-falling-profits-rising-costs-and-branch-closures-report-warns,"""Commonwealth Bank""","Australian banks face falling profits, rising costs and closures, report warns After nearly 20 years of growth on back of mining and housing booms, KPMG report says banks must tackle challenges or lose to stronger competition",0.022965573,0.95113784,0.025896506,-0.9281723,negative
2015-11-30,"Personal, political, persistent: how the campaign for marriage equality learned the hard way","After more than a decade, the Australian Marriage Equality campaign is one of the most well-honed of its kind, bringing together gay and straight supporters and targeting politicians. Now success looks like it will ultimately depend on a plebiscite of all voters. A special report by <strong>Brigid Delaney</strong> ",The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/nov/30/personal-political-persistent-how-the-campaign-for-marriage-equality-learned-the-hard-way,"""Commonwealth Bank""","Personal, political, persistent: how the campaign for marriage equality learned the hard way After more than a decade, the Australian Marriage Equality campaign is one of the most well-honed of its kind, bringing together gay and straight supporters and targeting politicians. Now success looks like it will ultimately depend on a plebiscite of all voters. A special report by <strong>Brigid Delaney</strong>",0.10398612,0.015114658,0.88089913,0.088871464,neutral
2015-12-01,No more 'business as usual' for Australia as climate change hits economy for $8bn,"Risks around extreme weather are high for Australian companies, but there are also plenty of opportunities to benefit from the ‘business boom’",The Guardian,Guardian Sustainable Business,https://www.theguardian.com/sustainable-business/2015/dec/01/no-more-business-as-usual-for-australia-as-climate-change-hits-economy-for-8bn,"""Commonwealth Bank""","No more 'business as usual' for Australia as climate change hits economy for $8bn Risks around extreme weather are high for Australian companies, but there are also plenty of opportunities to benefit from the ‘business boom’",0.78738135,0.01568641,0.1969323,0.77169496,positive
2015-12-01,New generation wave energy: could it provide one third of Australia's electricity?,"A company called Carnegie Wave Energy is pushing the boundaries of wave-energy technology, and Australian island and coastal communities could be the first to take advantage of it",The Guardian,Guardian Sustainable Business,https://www.theguardian.com/sustainable-business/2015/dec/01/new-generation-wave-energy-could-it-provide-one-third-of-australias-electricity,"""Commonwealth Bank""","New generation wave energy: could it provide one third of Australia's electricity? A company called Carnegie Wave Energy is pushing the boundaries of wave-energy technology, and Australian island and coastal communities could be the first to take advantage of it",0.24993165,0.009591835,0.7404765,0.24033982,neutral
